Year,City Council District,Borough,Total number of resident job placements,Average wage of such residents,Total number of resident connections to services,Total number of residents that applied for the NYCHA Resident Training Academy,Total number of residents that were accepted and enrolled,Total number residents placed into full-time or part-time jobs,Average Wage of such residents,Number of residents that enrolled in financial counseling services/workshops through the REES Zone Partner program,Total number of residents enrolled in vocational training programs through the program,Total number of residents enrolled in prep courses for English as a Second Language (ESOL) or the Test Assessing Secondary Completion (TASC) through the program
2020,28,Queens,9,25.11,31,14,6,<5,N/A,<5,5,N/A
2020,29,Queens,<5,28.75,<5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020,30,Queens,<5,39.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020,31,Queens,27,26.64,125,30,<5,<5,N/A,6,5,<5
2020,32,Queens,<5,23.18,8,<5,N/A,N/A,N/A,<5,<5,N/A
2020,33,Brooklyn,35,20.99,37,21,6,<5,15.40,N/A,<5,N/A
2020,34,Brooklyn/Queens,34,23.09,59,46,11,10,15.40,8,<5,N/A
2020,35,Brooklyn,73,24.53,157,62,20,17,16.86,11,<5,N/A
2020,36,Brooklyn,90,21.61,220,77,19,15,15.48,8,20,N/A
2020,37,Brooklyn,21,30.16,54,16,<5,<5,15.53,6,<5,N/A
2020,38,Brooklyn,16,24.25,52,26,<5,<5,15.60,<5,<5,N/A
2020,39,Brooklyn,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020,40,Brooklyn,<5,30.88,12,<5,N/A,N/A,N/A,N/A,N/A,N/A
2020,41,Brooklyn,103,22.96,217,114,25,24,15.40,18,16,6
2020,42,Brooklyn,96,21.76,253,87,19,14,18.95,5,15,<5
2020,43,Brooklyn,N/A,N/A,<5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020,44,Brooklyn,<5,28.20,<5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020,45,Brooklyn,13,19.40,35,14,<5,<5,15.53,6,<5,N/A
2020,46,Brooklyn,37,21.40,70,51,17,14,15.45,<5,14,<5
2020,47,Brooklyn,30,24.29,100,36,6,<5,15.60,8,6,<5
2020,48,Brooklyn,N/A,N/A,<5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020,49,Staten Island,13,19.80,116,16,5,<5,16.08,33,<5,N/A
2020,50,Staten Island,10,24.10,14,7,<5,<5,16.81,<5,<5,N/A
2020,51,Staten Island,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020,Unknown,N/A,13,33.60,8,<5,N/A,N/A,N/A,N/A,<5,N/A
